stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
32002,,El Carpio,,41.215464,-5.114466,,,,,Europe/Madrid,2
32003,,Fresno el Viejo,,41.191351,-5.138061,,,,,Europe/Madrid,2
32004,,Cantalapiedra,,41.133585,-5.182961,,,,,Europe/Madrid,2
10501,,Pozaldez,,41.36792,-4.836001,,,,,Europe/Madrid,2
10502,,Matapozuelos,,41.422794,-4.801025,,,,,Europe/Madrid,2
10503,,Valdestillas,,41.488729,-4.772937,,,,,Europe/Madrid,2
10504,,Viana,,41.52407,-4.754489,,,,,Europe/Madrid,2
50500,,CÃ³rdoba-Julio Anguita,,37.888291,-4.789453,,,,,Europe/Madrid,1
65422,,Cambrils,,41.0815642,1.04603752,,,,,Europe/Madrid,2
64100,,XÃ tiva,,38.992148,-0.5245402,,,,,Europe/Madrid,1
60600,,Albacete-Los Llanos,,38.999384,-1.84845,,,,,Europe/Madrid,1
60500,,Villarrobledo,,39.260868,-2.598621,,,,,Europe/Madrid,2
60406,,SocuÃ©llamos,,39.278776,-2.775571,,,,,Europe/Madrid,2
50100,,Manzanares,,39.005837,-3.370507,,,,,Europe/Madrid,2
50102,,ValdepeÃ±as,,38.762868,-3.39572,,,,,Europe/Madrid,2
81110,,Alfaro,,42.186525,-1.747985,,,,,Europe/Madrid,2
81109,,RincÃ³n de Soto,,42.230011,-1.847473,,,,,Europe/Madrid,2
60911,,Alicante/Alacant-Terminal,,38.3447127,-0.4955241,,,,,Europe/Madrid,1
4307,,Figueres-Vilafant,,42.264771,2.943547,,,,,Europe/Madrid,1
79300,,Girona,,41.9793629,2.81693689,,,,,Europe/Madrid,1
65200,,Sagunt,,39.6758025,-0.271542,,,,,Europe/Madrid,1
65304,,Orpesa,,40.092258,0.139861,,,,,Europe/Madrid,2
71500,,Tarragona,,41.1115636,1.25322776,,,,,Europe/Madrid,1
60905,,Elda-Petrer,,38.484879,-0.80109,,,,,Europe/Madrid,2
60902,,Villena,,38.631738,-0.867689,,,,,Europe/Madrid,1
65318,,BenicÃ ssim,,40.0579451,0.0577646,,,,,Europe/Madrid,2
61307,,Cartagena,,37.604967,-0.975122,,,,,Europe/Madrid,1
62103,,Elche/Elx-Parc,,38.2717809,-0.6952193,,,,,Europe/Madrid,2
62002,,Orihuela-Miguel HernÃ¡ndez,,38.0779321,-0.944606,,,,,Europe/Madrid,2
61304,,Torre-Pacheco,,37.746905,-0.967078,,,,,Europe/Madrid,2
61200,,Murcia del Carmen,,37.9748243,-1.131508,,,,,Europe/Madrid,1
61303,,Balsicas-Mar Menor,,37.81884,-0.950891,,,,,Europe/Madrid,2
6006,,Lorca-Sutullena,,37.6721129,-1.6962305,,,,,Europe/Madrid,2
6002,,Alhama de Murcia,,37.8494024,-1.4145141,,,,,Europe/Madrid,2
6003,,Totana,,37.7635424,-1.4956153,,,,,Europe/Madrid,2
51003,,Sevilla-Santa Justa,,37.3924955,-5.9749269,,,,,Europe/Madrid,1
37200,,Ciudad Real,,38.9853,-3.913633,,,,,Europe/Madrid,1
37300,,Puertollano,,38.69128,-4.111655,,,,,Europe/Madrid,1
54413,,MÃ¡laga MarÃ­a Zambrano,,36.7113388,-4.4313888,,,,,Europe/Madrid,1
37704,,Villanueva de CÃ³rdoba,,38.2554049,-4.570952,,,,,Europe/Madrid,2
2002,,Puente Genil-Herrera,,37.3579,-4.821638,,,,,Europe/Madrid,1
2003,,Antequera-Santa Ana,,37.069881,-4.719014,,,,,Europe/Madrid,1
5000,,Granada,,37.184038,-3.609154,,,,,Europe/Madrid,1
2030,,Antequera AV,,37.0334437,-4.5612901,,,,,Europe/Madrid,1
5012,,Loja,,37.175372,-4.134841,,,,,Europe/Madrid,2
51405,,CÃ¡diz,,36.528935,-6.2879716,,,,,Europe/Madrid,1
51406,,San Fernando-BahÃ­a Sur,,36.4680834,-6.2067676,,,,,Europe/Madrid,1
51400,,Puerto de Santa MarÃ­a,,36.6040723,-6.2179261,,,,,Europe/Madrid,1
51300,,Jerez de la Frontera,,36.680022,-6.1266032,,,,,Europe/Madrid,1
43019,,Huelva,,37.2525922,-6.9448154,,,,,Europe/Madrid,1
43011,,La Palma del Condado,,37.390665,-6.554444,,,,,Europe/Madrid,1
74200,,Huesca,,42.133594,-0.409745,,,,,Europe/Madrid,1
78200,,Tardienta,,41.975716,-0.538223,,,,,Europe/Madrid,2
3216,,ValÃ¨ncia-JoaquÃ­n Sorolla,,39.459051,-0.382923,,,,,Europe/Madrid,1
3208,,Cuenca-Fernando ZÃ³bel,,40.035192,-2.14441,,,,,Europe/Madrid,1
11500,,Tolosa,,43.1354472,-2.0790886,,,,,Europe/Madrid,2
15410,,GijÃ³n-Sanz Crespo,,43.5377329,-5.6758089,,,,,Europe/Madrid,1
15211,,Oviedo,,43.3663577,-5.854838,,,,,Europe/Madrid,1
15122,,Pola de Lena,,43.15872,-5.8310263,,,,,Europe/Madrid,2
14223,,Santander,,43.4583981,-3.8109529,,,,,Europe/Madrid,1
3309,,Villena Alta Velocidad,,38.585302,-0.873295,,,,,Europe/Madrid,2
8004,,Segovia-Guiomar,,40.910577,-4.094564,,,,,Europe/Madrid,1
14114,,Aguilar de Campoo,,42.785362,-4.233899,,,,,Europe/Madrid,2
14213,,Torrelavega,,43.3276776,-4.0426871,,,,,Europe/Madrid,2
14202,,Reinosa,,42.9944991,-4.1409454,,,,,Europe/Madrid,2
15203,,Mieres-Puente,,43.2500266,-5.7822622,,,,,Europe/Madrid,1
11600,,Irun,,43.3395365,-1.8012519,,,,,Europe/Madrid,1
20005,,Veguellina,,42.4335,-5.88756,,,,,Europe/Madrid,2
20104,,BraÃ±uelas,,42.632631,-6.201002,,,,,Europe/Madrid,2
16403,,AvilÃ©s,,43.561339,-5.9228329,,,,,Europe/Madrid,2
8240,,Medina del Campo AV,,41.317459,-4.910071,,,,,Europe/Madrid,2
30200,,Zamora,,41.515892,-5.739675,,,,,Europe/Madrid,1
8247,,Sanabria AV,,42.0450532,-6.5631319,,,,,Europe/Madrid,2
8251,,A GudiÃ±a-Porta de Galicia,,42.0635401,-7.1355604,,,,,Europe/Madrid,2
31412,,A CoruÃ±a,,43.3496932,-8.4155629,,,,,Europe/Madrid,1
20113,,San Miguel de las DueÃ±as,,42.586392,-6.523776,,,,,Europe/Madrid,2
20109,,Torre del Bierzo,,42.595578,-6.329083,,,,,Europe/Madrid,2
20102,,Vega-Magaz,,42.55376,-6.068267,,,,,Europe/Madrid,2
3213,,Requena-Utiel,,39.519834,-1.127601,,,,,Europe/Madrid,1
